v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,0.5000,-10.0000,20.0000,0.501553,-0.239686
-4.0000,-1.0000,0.5000,-10.0000,30.0000,1.858471,-0.407757
-4.0000,-1.0000,0.5000,0.0000,-30.0000,-0.341578,-0.275209
-4.0000,-1.0000,0.5000,0.0000,-20.0000,0.170567,-0.151308
-4.0000,-1.0000,0.5000,0.0000,-10.0000,0.341556,-0.089655
-4.0000,-1.0000,0.5000,0.0000,0.0000,0.428867,-0.079931
-4.0000,-1.0000,0.5000,0.0000,10.0000,0.577011,-0.116686
-4.0000,-1.0000,0.5000,0.0000,20.0000,1.297099,-0.331285
-4.0000,-1.0000,0.5000,0.0000,30.0000,3.032016,-0.568749
-4.0000,-1.0000,0.5000,10.0000,-30.0000,-0.199402,-0.437147
-4.0000,-1.0000,0.5000,10.0000,-20.0000,0.501259,-0.271467
-4.0000,-1.0000,0.5000,10.0000,-10.0000,0.723280,-0.143574
-4.0000,-1.0000,0.5000,10.0000,0.0000,0.822073,-0.104222
-4.0000,-1.0000,0.5000,10.0000,10.0000,0.952147,-0.153918
-4.0000,-1.0000,0.5000,10.0000,20.0000,1.963291,-0.404867
-4.0000,-1.0000,0.5000,10.0000,30.0000,3.473253,-0.641667
-4.0000,-1.0000,0.5000,20.0000,-30.0000,-0.475781,-0.621969
-4.0000,-1.0000,0.5000,20.0000,-20.0000,0.497437,-0.446964
-4.0000,-1.0000,0.5000,20.0000,-10.0000,1.784234,-0.223864
-4.0000,-1.0000,0.5000,20.0000,0.0000,1.942713,-0.108350
-4.0000,-1.0000,0.5000,20.0000,10.0000,2.158710,-0.170001
-4.0000,-1.0000,0.5000,20.0000,20.0000,2.923493,-0.386775
-4.0000,-1.0000,0.5000,20.0000,30.0000,3.802323,-0.589711
-4.0000,-1.0000,0.5000,30.0000,-30.0000,-0.735901,-0.755474
-4.0000,-1.0000,0.5000,30.0000,-20.0000,1.427027,-0.538912
-4.0000,-1.0000,0.5000,30.0000,-10.0000,2.982273,-0.266190
-4.0000,-1.0000,0.5000,30.0000,0.0000,3.209506,-0.137196
-4.0000,-1.0000,0.5000,30.0000,10.0000,3.312860,-0.172348
-4.0000,-1.0000,0.5000,30.0000,20.0000,3.712179,-0.320299
-4.0000,-1.0000,0.5000,30.0000,30.0000,4.403812,-0.488270
-4.0000,-1.0000,0.5000,35.0000,-30.0000,-0.446734,-0.729277
-4.0000,-1.0000,0.5000,35.0000,-20.0000,1.651303,-0.548539
-4.0000,-1.0000,0.5000,35.0000,-10.0000,3.392333,-0.282804
-4.0000,-1.0000,0.5000,35.0000,0.0000,3.706134,-0.157092
-4.0000,-1.0000,0.5000,35.0000,10.0000,3.810503,-0.179318
-4.0000,-1.0000,0.5000,35.0000,20.0000,4.188520,-0.295651
-4.0000,-1.0000,0.5000,35.0000,30.0000,4.800508,-0.442283
-4.0000,-1.0000,1.0000,-35.0000,-30.0000,-3.435208,-0.340565
-4.0000,-1.0000,1.0000,-35.0000,-20.0000,-2.837233,-0.312757
-4.0000,-1.0000,1.0000,-35.0000,-10.0000,-2.379941,-0.323699
-4.0000,-1.0000,1.0000,-35.0000,0.0000,-1.757899,-0.385293
-4.0000,-1.0000,1.0000,-35.0000,10.0000,-0.539281,-0.478506
-4.0000,-1.0000,1.0000,-35.0000,20.0000,1.047463,-0.550958
-4.0000,-1.0000,1.0000,-35.0000,30.0000,2.179701,-0.564340
-4.0000,-1.0000,1.0000,-30.0000,-30.0000,-2.810932,-0.344266
-4.0000,-1.0000,1.0000,-30.0000,-20.0000,-2.132683,-0.295263
